Reference, Quantity, Value, Footprint, Datasheet, MFRPN, LCSC, Manufacturer, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Arrow Part Number, Arrow Price/Stock, Mouser Part Number, Mouser Price/Stock, Manufacture, MFNPN
C1 C14 C15 C16 C17 C2 C20 C21 C3 C4 C5 C6 C8 C9 ,14,"100nF","Capacitors_SMD:C_0603_HandSoldering","","GCM188R71C104KA37D","C184760","Murata",",",",",",",",",","
C12 C13 ,2,"C","Capacitors_SMD:C_0603_HandSoldering","","CC0603JRX7R6BB474","C519557","YAGEO",",",",",",",",",","
C18 ,1,"1000uF","Capacitors_SMD:CP_Elec_10x10","","EEEFC1A102AP","C401617","PANASONIC",",",",",",",",",","
C19 C22 C23 ,3,"10uF","Capacitors_SMD:C_0805_HandSoldering","","GRM21BR61C106KE15L","C77075","Murata Electronics",",",",",",",",",","
C10 C11 C7 ,3,"2.2uF","Capacitors_SMD:C_0603_HandSoldering","","GRM188B31A225KE33D","C85991","Murata",",",",",",",",",","
F1 ,1,"16V 10A","Fuse_Holders_and_Fuses:Fuse_SMD2920","","2920L500/16MR","C207091","Littlefuse",",",",",",",",",","
J1 ,1,"Steering","Connectors_JST:JST_XH_B05B-XH-A_05x2.50mm_Straight","","B5B-XH-A(LF)(SN)","C157991","JST",",",",",",",",",","
J10 ,1,"SPK_L_OUT","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight","","B2B-XH-A(LF)(SN)","C158012","JST",",",",",",",",",","
J11 ,1,"Batt","Connectors_JST:JST_VH_B2P-VH-B_2x3.96mm_Vertical","","B2P-VH(LF)(SN)","C160315","JST",",",",",",",",",","
J12 ,1,"Motor","Connectors_JST:JST_VH_B2P-VH-B_2x3.96mm_Vertical","","B2P-VH(LF)(SN)","C160315","JST",",",",",",",",",","
J13 ,1,"ACC","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight","","B2B-XH-A(LF)(SN)","C158012","JST",",",",",",",",",","
J2 ,1,"Volume","Connectors_JST:JST_XH_B03B-XH-A_03x2.50mm_Straight","",","C144394","JST",",",",",",",",",","B3B-XH-A(LF)(SN)"
J3 ,1,"Light","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight","","B2B-XH-A(LF)(SN)","C158012","JST",",",",",",",",",","
J4 ,1,"Gas_In","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight","","B2B-XH-A(LF)(SN)","C158012","JST",",",",",",",",",","
J5 ,1,"Direction","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","B4B-XH-A(LF)(SN)","C144395","JST",",",",",",",",",","
J6 ,1,"Light_Out","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight","","B2B-XH-A(LF)(SN)","C158012","JST",",",",",",",",",","
J7 ,1,"LED_Out","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight","","B2B-XH-A(LF)(SN)","C158012","JST",",",",",",",",",","
J8 ,1,"uSD","Connectors_Card:Hirose_DM3AT-SF-PEJM5","","DM3AT-SF-PEJM5","C114218","Hirose",",",",",",",",",","
J9 ,1,"SPK_R_OUT","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight","","B2B-XH-A(LF)(SN)","C158012","JST",",",",",",",",",","
JP1 ,1,"20021221-00010C4LF","lib:20021221-00010C4LF",""
JP2 ,1,"Jumper_NO_Small","lib:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
K1 K2 K3 ,3,"JQ1P-5V-F","lib:JQ1P5VF","https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_jq.pdf?via=ok",","C58271",","Electromechanical Relay 5VDC 62.5Ohm 10(NO)/3(NC)A SPDT (20x10x16)mm THT Power Relay","16","Panasonic","JQ1P-5V-F","JQ1P-5V-F","https://www.arrow.com/en/products/jq1p-5v-f/panasonic","769-JQ1P-5V-F","https://www.mouser.co.uk/ProductDetail/Panasonic-Industrial-Devices/JQ1P-5V-F?qs=sEN%2FkO1EG6YilE9F85mAlw%3D%3D",","
M1 M2 M3 M4 ,4,"M3","Mounting_Holes:MountingHole_3.2mm_M3_Pad",""
R1 R2 ,2,"100K","Resistors_SMD:R_0603_HandSoldering","","ERJUP3J104V","C491207","Panasonic",",",",",",",",",","
